Scopus - Affiliation details										
										
Affiliation name:	JSS Science and Technology University									
Scopus affiliation ID:	60038307									
										
Subject areas	Documents									
										
Engineering	432				Country/Territory 	Documents 				
Computer Science	389				India	1170			Citations<201520152016201720182019Subtotal>2019TotalTotal	
Materials Science	365				United States	46			4862	2013-2014
Chemistry	207				Singapore	37			863	2015
Physics and Astronomy	121				South Korea	37			907	2016
Chemical Engineering	86				Malaysia	16			1005	2017
"Biochemistry, Genetics and Molecular Biology"	65				China	15			1243	2018
Mathematics	63				Russian Federation	14			388	2019
"Pharmacology, Toxicology and Pharmaceutics"	63				United Kingdom	14			4406	
Environmental Science	62				Brazil	11			0	
Earth and Planetary Sciences	53				Germany	9			9268	total
Agricultural and Biological Sciences	38				Japan	9				
					Yemen	7				
Year 	Documents 				Iran	5				
2019	32				Saudi Arabia	5				
2018	141				Australia	4				
2017	79				Canada	4				
2016	95				Italy	4				
2015	68				Bangladesh	3				
2014	78				France	3				
2013	68				Pakistan	3				
2012	70				Finland	2				
2011	61				Hong Kong	2				
2010	71				Mexico	2				
2009	48				Qatar	2				
2008	49				Colombia	1				
2007	60				Czech Republic	1				
2006	38				Denmark	1				
2005	27				Indonesia	1				
2004	19				Libyan Arab Jamahiriya	1				
2003	17				Morocco	1				
2002	17				Netherlands	1				
2001	18				New Zealand	1				
2000	24				Palestine	1				
1999	23				Slovenia	1				
1998	16				South Africa	1				
1997	11				Spain	1				
1996	10				Switzerland	1				
1995	9				Thailand	1				
1994	5				Turkey	1				
1993	3				Undefined	5				
1992	3									
1991	4									
1990	4									
1989	2									
1988	1									
1987	0									
1986	1									
1985	0									
1984	1									
1983	0									
1982	0									
1981	0									
1980	0									
1979	2									
