Scopus - Affiliation details									
									
Affiliation name:	Manipal University Jaipur								h-index : 17
Scopus affiliation ID:	60108737								
									
Subject areas	Documents				Citations				
					0				
Engineering	373				0	2013			
Computer Science	307				9	2014			
Physics and Astronomy	197				38	2015			
Materials Science	132				105	2016			
Chemical Engineering	75				398	2017			
Mathematics	74				768	2018			
Energy	63				364	2019			
Chemistry	51				1682				
"Biochemistry, Genetics and Molecular Biology"	45				2	2020			
Environmental Science	42				1684				
"Business, Management and Accounting"	36								
Decision Sciences	35								
									
				Year 	Documents 				
				2019	87				
				2018	302				
				2017	168				
				2016	152				
				2015	60				
				2014	22				
				2013	8				
									
									
									
									
Jump Link									
Country/Territory 	Documents 								
India	799								
United Kingdom	35								
Pakistan	25								
Japan	12								
Italy	10								
United States	9								
Germany	8								
Canada	7								
Australia	6								
Malaysia	5								
China	4								
South Africa	4								
Argentina	3								
Egypt	3								
France	3								
Israel	3								
Nigeria	3								
South Korea	3								
Turkey	3								
Ukraine	3								
Indonesia	2								
Iraq	2								
Saudi Arabia	2								
Singapore	2								
Algeria	1								
Belgium	1								
Botswana	1								
Finland	1								
Greece	1								
Ireland	1								
Russian Federation	1								
Slovenia	1								
Switzerland	1								
Thailand	1								
United Arab Emirates	1								
