Scopus - Affiliation details						
						
Affiliation name:	Shoolini University					
Scopus affiliation ID:	60109019					
						
Subject areas	Documents					
					Citations<20072007200820092010201120122013201420152016201720182019Subtotal>2019TotalTotal	
Physics and Astronomy	196				0	
Materials Science	184				0	
Engineering	173				0	
Chemical Engineering	152				0	
Chemistry	149				0	
"Pharmacology, Toxicology and Pharmaceutics"	145				5	2011
"Biochemistry, Genetics and Molecular Biology"	141				68	2012
Agricultural and Biological Sciences	77				137	2013
Environmental Science	73				398	2014
Medicine	69				704	2015
Immunology and Microbiology	52				1185	2016
Energy	44				1634	2017
Computer Science	22				2810	2018
					1043	2019
					7984	
						
Year 	Documents 					
2019	57					
2018	217					
2017	156					
2016	132					
2015	80					
2014	90					
2013	59					
2012	34					
2011	19					
2010	1					
						
						
Jump Link					Jump Link	
Affiliation 	Documents 				Country/Territory 	Documents 
Shoolini University	845				India	843
Panjab University	92				Saudi Arabia	178
King Abdulaziz University	90				China	117
Alma Mater Studiorum Università di Bologna	88				Australia	106
University of Delhi	88				Italy	102
National Taiwan University	84				United States	99
CNRS Centre National de la Recherche Scientifique	83				France	97
Bhabha Atomic Research Centre	83				Brazil	93
Universidade Federal do Rio Grande do Sul	80				Portugal	93
University of Minnesota Twin Cities	80				South Korea	92
Johns Hopkins University	79				United Kingdom	92
UNESP-Universidade Estadual Paulista	79				Malaysia	86
"Indian Institute of Science, Bangalore"	79				Thailand	84
Lappeenrannan Teknillinen Yliopisto	79				Iran	83
Université de Strasbourg	79				Taiwan	83
"Joint Institute for Nuclear Research, Dubna"	78				Finland	82
Seoul National University	78				Germany	82
University of Bristol	78				Lithuania	82
Eötvös Loránd University	78				Czech Republic	81
Tsinghua University	78				Russian Federation	80
Chulalongkorn University	78				Belgium	79
Çukurova Üniversitesi	78				Egypt	79
Universite Paris-Saclay	78				Pakistan	79
Université libre de Bruxelles ULB	77				Spain	79
University of Colorado at Boulder	77				Austria	78
Moscow Institute of Physics and Technology	77				Belarus	78
Università degli Studi di Padova	77				Bulgaria	78
Kansas State University	77				Greece	78
Universite Catholique de Louvain	77				Hungary	78
Institute Ruder Boskovic	77				Ireland	78
Demokritos National Centre for Scientific Research	77				Mexico	78
Universidade Federal do ABC	77				New Zealand	78
"Institute for Studies in Theoretical Physics and Mathematics, Tehran"	77				Poland	78
Novosibirsk State University	77				Turkey	78
Florida State University	77				Ukraine	78
Institute of Physics Bhubaneswar	77				Armenia	77
Atommagkutató Intézete	77				Colombia	77
Università degli Studi di Siena	77				Croatia	77
National Technical University of Athens	77				Cyprus	77
Helsingin Yliopisto	77				Ecuador	77
Università degli Studi di Perugia	77				Estonia	77
Princeton University	77				Serbia	77
Ohio State University	77				Switzerland	77
Politechnika Warszawska	77				Georgia	76
CSIC-UC - Instituto de Física de Cantabria IFCA	77				Qatar	76
Vanderbilt University	77				Latvia	75
Middle East Technical University METU	77				Sri Lanka	50
Debreceni Egyetem	77				South Africa	43
Panepistimion Ioanninon	77				Oman	17
University College Dublin	77				Puerto Rico	15
"Centro de Investigaciones Energeticas, Medioambientales y Tecnologicas"	77				Trinidad and Tobago	5
Korea University	77				Sweden	4
Rice University	77				Uzbekistan	4
Universidade do Estado do Rio de Janeiro	77				Canada	3
University of Auckland	77				Japan	2
Bogaziçi Üniversitesi	77				Madagascar	2
Universidad de Oviedo	77				Norway	2
University of Split	77				Bangladesh	1
Chonnam National University	77				Ethiopia	1
Northwestern University	77				Israel	1
Lomonosov Moscow State University	77				Nepal	1
Sungkyunkwan University	77				Nigeria	1
Cornell University	77				Sudan	1
Commissariat a L'Energie Atomique CEA	77				Undefined	2
Centro Brasileiro de Pesquisas Físicas	77					
National Science Center Kharkov Institute of Physics and Technology	77					
Izmir Yüksek Teknoloji Enstitüsü	77					
P.N. Lebedev Physical Institute of the Russian Academy of Sciences	77					
Purdue University	77					
Wayne State University	77					
Istanbul Bilgi Üniversitesi	77					
Università degli Studi di Catania	77					
Florida Institute of Technology	77					
Baylor University	77					
Brown University	77					
Universidad Iberoamericana	77					
Università degli Studi di Torino	77					
University of Milano - Bicocca	77					
University of Zurich	77					
Kyungpook National University	77					
Universiteit Antwerpen	77					
Institute for Nuclear Research and Nuclear Energy Bulgarian Academy of Sciences	77					
École Polytechnique	77					
Uniwersytet Warszawski	77					
Beihang University	77					
University of Florida	77					
Kafkas Üniversitesi	77					
"University of California, Davis"	77					
Peking University	77					
Petersburg Nuclear Physics Institute PNPI	77					
Imperial College London	77					
Universidad de Cantabria	77					
Università degli Studi di Pavia	77					
Florida International University	77					
University of Kansas Lawrence	77					
"University of Tennessee, Knoxville"	77					
"INFN, Laboratori Nazionali Di Frascati"	77					
Charles University	77					
Rheinisch-Westfälische Technische Hochschule Aachen	77					
International Islamic University Malaysia	77					
Peter the Great St. Petersburg Polytechnic University	77					
Università degli Studi di Napoli Federico II	77					
Centro de Investigacion y de Estudios Avanzados	77					
Iranian Research Institute for Fundamental Sciences	77					
Technische Universitat Wien	77					
Università degli Studi di Trieste	77					
Alikhanov Institute for Theoretical and Experimental Physics	77					
Visva-Bharati University	77					
Monash University	77					
Boston University	77					
European Organization for Nuclear Research	77					
Sofia University St. Kliment Ohridski	77					
Paul Scherrer Institut	77					
University of Maryland	77					
Brandenburgische Technische Universität Cottbus	77					
Catholic University of America	77					
Texas A and M University	77					
University of Canterbury	77					
Brunel University London	77					
Università degli Studi della Basilicata	77					
Texas Tech University at Lubbock	77					
University of Notre Dame	77					
Istituto Nazionale di Fisica Nucleare - INFN	77					
Università degli Studi di Firenze	77					
Malaysian Nuclear Agency	77					
University of Virginia	77					
Istanbul Teknik Üniversitesi	77					
Massachusetts Institute of Technology	77					
Laboratório de Instrumentacao e Física Experimental de Partículas	77					
Università degli Studi di Bari	77					
Rutherford Appleton Laboratory	77					
Université Claude Bernard Lyon 1	77					
Budker Institute of Nuclear Physics of the Siberian Branch of the RAS	77					
Bulgarian Academy of Sciences	77					
University of Iowa	77					
National Central University Taiwan	77					
Benemerita Universidad Autonoma de Puebla	77					
Hanyang University	77					
Università degli Studi di Genova	77					
Institut fur Hochenergiephysik	77					
University of Southampton	77					
University of Alabama	77					
Indian Institute of Technology Madras	77					
ETH Zürich	77					
IN2P3 Institut National de Physique Nucleaire et de Physique des Particules	77					
Lawrence Livermore National Laboratory	77					
University of Nebraska - Lincoln	77					
Universidad Autónoma de Madrid	77					
Vrije Universiteit Brussel	77					
University of Rochester	77					
Politecnico di Bari	77					
"Università degli Studi del Piemonte Orientale Amedeo Avogadro, Novara"	77					
"University of California, Los Angeles"	77					
University of Illinois at Chicago	77					
Institute of High Energy Physics Chinese Academy of Science	77					
University of Seoul	77					
Universite de Haute Alsace	77					
Carnegie Mellon University	77					
Marmara Üniversitesi	77					
Isfahan University of Technology	77					
